device_id,facility,date,pm1,pm2_5,pm10
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-07,21.1323,25.6726,37.0776
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-06,45.4747,52.5425,69.7613
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-05,50.5684,59.8025,78.5337
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-04,22.1237,26.296,38.7355
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-03,52.2165,61.7778,82.9293
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-02,41.351,50.6404,69.3357
3494540033F4,os-desanka-maksimovic-gornji-milanovac,2022-12-01,8.5952,11.6123,19.1952
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-31,50.3189,57.0033,78.0982
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-30,35.6573,41.6167,59.7448
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-29,41.3422,47.7249,68.3182
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-28,27.4337,32.273,48.1009
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-27,11.7939,15.3635,25.1116
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-26,44.1681,51.2921,73.5081
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-25,33.6367,39.1359,56.5195
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-24,33.3884,38.3929,54.8925
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-23,36.2032,42.1977,60.0248
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-22,51.5784,60.1266,83.7313
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-21,50.2544,60.089,86.4105
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-20,38.7314,46.0215,68.542
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-19,30.5008,36.8915,56.5273
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-18,19.2293,24.5401,38.1356
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-17,13.9972,17.9641,28.8334
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-16,11.8148,17.1024,28.1771
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-15,23.1794,27.4874,41.8907
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-14,33.8514,41.1092,61.6532
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-13,32.2628,37.6367,56.75
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-12,11.7267,14.795,24.6269
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-11,9.0087,12.237,20.7042
0CDC7E3DD1CC,os-ivo-andric-pranjani,2022-12-10,8.1592,10.746,18.5109
